GarageArea,GrLivArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
506,1709,9,1698,1999,2000
299,1092,5,1092,1957,1957
758,1746,9,1746,2006,2007
667,2287,7,1304,1953,1953
200,789,5,768,1926,1950
270,1041,5,1041,1959,1959
431,1908,8,967,2002,2002
390,2267,6,1010,2002,2002
180,875,5,715,1931,1993
364,1526,5,1216,1957,2002
714,1567,6,1567,1977,1977
1020,2822,9,1734,2008,2009
360,1378,7,689,1928,2005
368,1738,4,715,1920,2007
521,2060,6,1151,1988,1989
286,1128,5,936,1954,1954
440,1720,7,840,2004,2004
338,1050,5,1050,1956,1956
576,1114,6,1114,2003,2004
750,1053,5,1008,1958,1991
682,1593,8,1593,2001,2002
318,1214,5,1214,1967,1967
264,816,5,816,1982,2008
400,1535,5,0,1979,1979
795,3112,8,1360,1918,1990
685,1919,8,1079,2006,2006
672,1097,5,1097,1994,1995
423,1750,6,983,1940,1985
288,987,6,483,1972,1972
576,981,6,981,1971,1971
447,1700,5,1398,1959,1959
308,816,5,816,1957,1957
622,1840,7,944,2001,2001
576,2521,6,942,1973,1973
902,1002,5,1002,1970,1970
294,841,4,721,1950,1950
564,996,6,936,1992,1992
856,1713,8,1713,2004,2005
576,1412,6,1392,1988,1988
923,1236,6,912,1957,1996
648,1040,4,1064,1963,1963
608,1616,8,1595,1995,1996
601,1414,6,1184,1958,2002
576,1950,7,975,1997,1998
490,1086,5,1086,1954,2003
528,1576,5,1324,1923,2004
624,768,5,768,1970,1970
676,1381,6,1161,1972,2006
647,2169,8,1284,2002,2002
287,720,3,0,1949,1950
520,2792,6,1510,1920,1950
576,936,4,936,1953,1953
588,1181,4,1138,1972,1972
954,1689,7,1689,2007,2007
280,948,4,948,1954,1954
440,1512,6,756,2000,2000
450,894,5,894,1968,1968
644,1852,7,900,2009,2009
290,845,4,0,1957,1957
0,774,3,544,1931,2006
666,3238,8,2033,1995,1996
632,1232,7,1232,2007,2007
528,1164,7,1164,1969,1969
160,1248,5,912,1930,1950
572,1687,5,747,1948,1950
440,1960,6,860,2002,2002
286,1092,4,546,1970,1970
400,894,4,894,1954,1954
558,1479,7,1453,2003,2003
270,1060,5,1060,1968,2001
484,1436,7,1436,2004,2004
504,1044,5,540,1952,1952
320,1768,7,880,1914,1970
432,816,6,816,1930,2007
400,1430,7,384,2000,2000
303,1867,5,1617,1955,1993
648,1500,7,1356,2006,2006
312,1100,4,1100,1960,1960
264,816,5,816,1982,1982
308,1328,5,1350,1959,1959
842,2296,10,1722,2008,2008
572,864,5,864,1955,1990
453,1266,7,1257,2005,2005
0,858,4,858,1971,1971
506,1710,6,832,1993,1993
264,1123,4,732,1939,1950
460,1647,6,953,1999,2000
288,874,5,864,1968,1968
522,1788,8,1753,2001,2001
416,1839,6,1477,1957,2004
484,1868,5,780,1976,1976
588,1712,5,1626,1959,2005
462,1229,6,561,1980,1980
890,1600,8,1566,2007,2007
460,1600,6,916,1997,1997
240,1344,5,896,1936,1950
540,1126,5,1126,1977,1977
264,923,5,876,1984,1985
205,616,5,616,1921,1950
0,1800,5,1800,1961,1961
505,1505,6,1505,1953,1953
621,1647,5,1430,1977,1977
451,1132,4,1132,2005,2005
470,1764,6,928,1997,1997
240,1529,4,0,1945,1950
336,2447,6,804,1919,1990
457,1504,7,1346,2005,2006
220,1163,3,1162,1955,2005
440,1525,6,756,2000,2000
288,935,5,935,1965,1965
270,813,6,813,1930,2005
230,2008,5,896,1948,2002
514,2329,7,1475,1990,1990
282,1558,5,910,1950,1950
528,1664,7,832,1976,1976
522,2110,7,2110,1968,1968
684,1786,6,824,1997,1997
336,1475,5,757,1977,1977
256,1387,5,811,1954,1954
380,1708,7,976,2004,2004
440,1734,6,912,1962,1981
520,2414,5,954,1900,1970
493,1908,7,915,1994,1995
506,1283,5,931,1962,1980
573,1212,7,1212,2001,2001
672,1548,7,952,1925,2007
384,980,5,980,1967,1967
470,1811,6,1073,1956,2004
384,1056,4,1056,1966,1966
484,1234,8,1234,2007,2007
440,1302,5,630,1970,1970
0,1406,6,319,1920,1950
576,858,5,858,1982,1982
736,2324,9,1175,2005,2006
414,910,5,105,1953,1996
442,1611,6,780,1964,1964
400,1560,6,684,2005,2005
630,2020,5,0,1977,1977
582,1338,8,1338,2001,2001
312,1188,5,1188,1962,1962
527,1459,7,1459,2002,2002
533,2260,7,1306,1996,1997
605,1430,7,1413,2001,2002
0,996,5,996,1940,1969
504,1092,6,1092,1964,1964
625,1250,7,625,2006,2007
572,1728,7,864,2004,2004
280,924,5,924,1975,1975
530,1199,6,1199,1993,1993
300,948,5,948,1968,1968
429,925,5,925,1965,1965
366,835,5,458,1920,1950
610,2466,8,1580,2004,2005
487,2157,7,924,1966,1966
572,1060,5,1040,1976,1976
804,2633,10,2633,2001,2002
280,1048,5,993,1922,1950
460,1664,6,953,2000,2000
360,784,6,784,1928,1950
473,1279,6,1196,1977,1977
284,1229,4,1134,1956,1956
244,1268,5,1268,1954,1954
480,1428,7,1428,2007,2008
352,1125,6,1041,1976,1976
275,1008,5,1008,1954,1954
860,1630,8,1622,2008,2008
673,1728,6,864,2003,2003
322,1211,5,952,1968,1968
286,1040,5,1040,1959,1959
511,1707,8,1686,1981,1981
462,1632,7,935,1998,1998
528,1392,5,1392,1957,1996
270,1319,5,608,1953,1953
390,1484,6,742,2005,2005
300,971,5,971,1969,1969
539,1062,6,1029,1976,1976
0,980,6,945,1975,1975
478,1405,7,1405,2003,2003
472,1671,6,959,2000,2000
495,1074,5,1056,1975,1975
672,2320,5,0,1948,1950
264,918,6,918,1979,1979
528,1437,5,1437,1976,2004
440,1069,6,1069,1977,1977
441,1556,6,727,1968,1968
510,1894,7,817,2002,2003
895,1973,8,1935,2006,2006
564,2978,7,710,1967,2007
420,848,6,848,2004,2004
400,1474,7,384,1995,1996
260,1056,5,1056,1954,2005
484,902,5,864,1983,1983
564,1032,6,1032,1978,1978
338,1077,5,961,1920,1950
480,1235,5,1235,1961,1961
719,1442,7,910,1990,1991
264,987,6,483,1971,1971
504,1004,6,975,1977,1977
0,1006,5,1006,1959,1959
0,1716,5,780,1912,2000
565,1720,7,860,2004,2004
308,960,4,960,1920,1950
660,1604,7,1604,2006,2006
621,2217,8,2217,1970,1970
540,1844,6,1844,1969,1969
380,1571,6,799,1993,1994
577,1479,7,1468,1999,2000
529,1786,5,1499,1965,1965
338,1632,6,1240,1958,1988
578,1768,8,866,2007,2007
299,1096,5,1096,1969,1969
542,2093,7,791,1986,1991
453,1348,6,660,1966,1966
410,1456,7,728,2005,2005
319,1600,5,1484,1957,1997
544,1700,6,1682,2003,2003
389,1593,6,808,1992,1993
288,1363,5,1008,1951,2000
440,1441,6,855,1978,1978
866,1710,8,1710,2007,2008
463,2110,7,948,1994,2002
475,1479,6,725,1976,2005
367,767,7,723,1998,1998
426,1496,7,654,2006,2006
648,1567,8,1520,2006,2006
308,1148,5,980,1952,1952
753,1970,8,1085,2006,2006
750,2810,8,1453,1990,1990
696,2630,8,1470,1998,1998
480,2274,5,1105,1960,1960
433,1261,6,1261,1958,1958
480,1486,5,1486,1964,1999
240,773,5,773,1953,1953
462,1537,6,1319,1962,2005
546,1779,7,866,1998,1998
0,1225,4,950,1959,1959
420,848,6,848,2003,2003
198,1376,6,780,1937,1950
440,1471,6,729,1999,1999
0,869,4,440,1923,1958
440,1458,6,729,1999,1999
440,894,5,864,1974,1974
427,1718,7,832,1998,1998
611,1701,5,1390,1975,1981
576,864,4,864,1972,1972
512,1855,6,528,1976,1994
616,1651,6,1606,1986,1986
528,1224,6,612,2009,2009
288,928,5,928,1957,1957
0,1092,4,0,1930,1950
546,1641,7,728,1925,1990
776,1416,6,708,1968,1968
736,1904,8,1058,2005,2005
308,936,5,936,1956,2000
452,1556,6,716,1980,1980
400,864,4,864,1951,1951
900,1654,7,1654,2002,2002
576,1416,5,816,1918,2007
856,2365,8,1252,1999,1999
436,1067,4,1067,1950,1995
539,1902,6,0,1978,1978
420,1557,7,1374,2003,2004
486,1839,7,1195,1998,1998
